episode,global_step,ep_return,success,guided_pct,queries_per_ep,bc_loss,agreement_rate,cum_queries,first_unguided_success
1,5120,0.0,0.0,0.0,0,0.0,,0,
2,5120,0.0,0.0,0.0,0,0.0,,0,
3,5120,0.0,0.0,0.0,0,0.0,,0,
4,5120,0.0,0.0,0.0,0,0.0,,0,
5,5120,0.0,0.0,0.0,0,0.0,,0,
6,5120,0.0,0.0,0.0,0,0.0,,0,
7,5120,0.0,0.0,0.0,0,0.0,,0,
8,5120,0.0,0.0,0.0,0,0.0,,0,
9,10248,0.0,0.0,0.0,0,0.0,,0,
10,10248,0.0,0.0,0.0,0,0.0,,0,
11,10248,0.0,0.0,0.0,0,0.0,,0,
12,10248,0.0,0.0,0.0,0,0.0,,0,
13,10248,0.0,0.0,0.0,0,0.0,,0,
14,10248,0.0,0.0,0.0,0,0.0,,0,
15,10248,0.0,0.0,0.0,0,0.0,,0,
16,10248,0.0,0.0,0.0,0,0.0,,0,
17,12664,0.5767,1.0,0.0,0,0.0,,0,17
18,15376,0.0,0.0,0.0,0,0.0,,0,
19,15376,0.0,0.0,0.0,0,0.0,,0,
20,15376,0.0,0.0,0.0,0,0.0,,0,
21,15376,0.0,0.0,0.0,0,0.0,,0,
22,15376,0.0,0.0,0.0,0,0.0,,0,
23,15376,0.0,0.0,0.0,0,0.0,,0,
24,15376,0.0,0.0,0.0,0,0.0,,0,
25,17792,0.0,0.0,0.0,0,0.0,,0,
26,20504,0.0,0.0,0.0,0,0.0,,0,
27,20504,0.0,0.0,0.0,0,0.0,,0,
28,20504,0.0,0.0,0.0,0,0.0,,0,
29,20504,0.0,0.0,0.0,0,0.0,,0,
30,20504,0.0,0.0,0.0,0,0.0,,0,
31,20504,0.0,0.0,0.0,0,0.0,,0,
32,20504,0.0,0.0,0.0,0,0.0,,0,
33,22920,0.0,0.0,0.0,0,0.0,,0,
34,25632,0.0,0.0,0.0,0,0.0,,0,
